DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,cod_departamento,cod_municipio,region,FEX_C,cant_hog_completos,cant_hogares_vivienda,clase,tipo_vivienda
8369605,1,1,1,Caldas,Manizales,Central,"194,7939165",1,1,Cabecera,Casa
8369606,1,1,1,Caldas,Manizales,Central,"194,7939165",1,1,Cabecera,Casa
8369607,1,1,1,Caldas,Manizales,Central,"213,8264401",1,1,Cabecera,Casa
8369608,1,1,1,Caldas,Manizales,Central,"209,3746053",1,1,Cabecera,Apartamento
8369969,1,1,1,Caldas,Manizales,Central,"183,3071845",1,1,Cabecera,Casa
8369970,1,1,1,Caldas,Manizales,Central,"174,3918169",1,1,Cabecera,Casa
8369971,1,1,1,Caldas,Manizales,Central,"278,921256",1,1,Cabecera,Apartamento
8369972,1,1,1,Caldas,Manizales,Central,"213,8264401",1,1,Cabecera,Apartamento
8369973,1,1,1,Caldas,Manizales,Central,"173,267578",1,1,Cabecera,Apartamento
8369974,1,1,1,Caldas,Manizales,Central,"380,6102814",1,1,Cabecera,Casa
8369975,1,1,1,Caldas,Manizales,Central,"291,2055392",1,1,Cabecera,Apartamento
8369976,1,1,1,Caldas,Manizales,Central,"198,4182861",1,1,Cabecera,Casa
8369977,1,1,1,Caldas,Manizales,Central,"173,1657159",1,1,Cabecera,Casa
8369978,1,1,1,Caldas,Manizales,Central,"144,3666372",1,1,Cabecera,Apartamento
8369979,1,1,1,Caldas,Manizales,Central,"354,3087989",1,1,Cabecera,Apartamento
8369980,1,1,1,Caldas,Manizales,Central,"143,2835793",1,1,Cabecera,Apartamento
8369981,1,1,1,Caldas,Manizales,Central,"166,9207803",1,1,Cabecera,Apartamento
8369982,1,1,1,Caldas,Manizales,Central,"168,0038382",1,1,Cabecera,Apartamento
8369984,1,1,1,Caldas,Manizales,Central,"161,2205933",1,1,Cabecera,Casa
8369986,1,1,1,Caldas,Manizales,Central,"173,1657159",1,1,Cabecera,Casa
8369987,1,1,1,Caldas,Manizales,Central,"269,8471548",1,1,Cabecera,Casa
8369989,1,1,1,Caldas,Manizales,Central,"267,3740796",1,1,Cabecera,Casa
8369990,1,1,1,Caldas,Manizales,Central,"204,752293",1,1,Cabecera,Casa
8369991,1,1,1,Caldas,Manizales,Central,"203,6746494",1,1,Cabecera,Apartamento
8369992,1,1,1,Caldas,Manizales,Central,"227,6278565",1,1,Cabecera,Casa
8369993,1,1,1,Caldas,Manizales,Central,"424,3982318",1,1,Cabecera,Apartamento
8369995,1,1,1,Caldas,Manizales,Central,"338,678995",1,1,Cabecera,Casa
8369996,1,1,1,Caldas,Manizales,Central,"416,4324255",1,1,Cabecera,Casa
8369997,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8369998,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8369999,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370000,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370001,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8370002,1,1,1,Caldas,Manizales,Central,"75,78038935",1,1,Centro poblado / Rural disperso,Casa
8370003,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370004,1,1,1,Caldas,Manizales,Central,"107,7284802",1,1,Centro poblado / Rural disperso,Casa
8370005,1,1,1,Caldas,Manizales,Central,"35,05662185",1,1,Centro poblado / Rural disperso,Casa
8370007,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370008,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370009,1,1,1,Caldas,Manizales,Central,"99,08471612",1,1,Centro poblado / Rural disperso,Casa
8370010,1,1,1,Caldas,Manizales,Central,"80,15611943",1,1,Centro poblado / Rural disperso,Casa
8370011,1,1,1,Caldas,Manizales,Central,"89,09078574",1,1,Centro poblado / Rural disperso,Casa
8370012,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370013,1,1,1,Caldas,Manizales,Central,"128,6268275",1,1,Centro poblado / Rural disperso,Casa
8370015,1,1,1,Caldas,Manizales,Central,"102,7344819",1,1,Centro poblado / Rural disperso,Casa
8370017,1,1,1,Caldas,Manizales,Central,"37,38236618",1,1,Centro poblado / Rural disperso,Casa
8370018,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Apartamento
8370020,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Apartamento
8370022,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Apartamento
8370023,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Apartamento
8370026,1,1,1,Caldas,Manizales,Central,"44,11045227",1,1,Centro poblado / Rural disperso,Apartamento
8370030,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370031,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370034,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370035,1,1,1,Caldas,Manizales,Central,"125,4614736",1,1,Centro poblado / Rural disperso,Apartamento
8370036,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370037,1,1,1,Caldas,Manizales,Central,"32,15670687",1,1,Centro poblado / Rural disperso,Casa
8370038,1,1,1,Caldas,Manizales,Central,"26,97802197",1,1,Centro poblado / Rural disperso,Apartamento
8371475,1,1,1,Caldas,Manizales,Central,"161,7851777",1,1,Cabecera,Casa
8371476,1,1,1,Caldas,Manizales,Central,"302,7195467",1,1,Cabecera,Casa
8371477,1,1,1,Caldas,Manizales,Central,"183,3071845",1,1,Cabecera,Casa
8371478,1,1,1,Caldas,Manizales,Central,"361,8342341",1,1,Cabecera,Casa
8371479,1,1,1,Caldas,Manizales,Central,"204,7946026",1,1,Cabecera,Casa
8371480,1,1,1,Caldas,Manizales,Central,"363,233226",1,1,Cabecera,Casa
8371481,1,1,1,Caldas,Manizales,Central,"196,3221145",1,1,Cabecera,Apartamento
8371482,1,1,1,Caldas,Manizales,Central,"218,5693711",1,1,Cabecera,Apartamento
